start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget
1402919487988,1402919488488,0,0,0,0,0,0,0
1402919488488,1402919488988,0,0,0,0,0,0,0
1402919488988,1402919489488,0,0,0,0,0,0,0
1402919489488,1402919489988,0,0,0,0,0,0,0
1402919489988,1402919490488,0,0,0,0,0,0,1
1402919490488,1402919490988,0,0,0,0,0,0,2
1402919490988,1402919491488,0,0,0,0,0,0,1
1402919491488,1402919491988,0,0,0,0,0,0,1
1402919491988,1402919492488,0,0,0,0,0,0,0
1402919492488,1402919492988,0,0,0,0,0,0,1
1402919492988,1402919493488,0,0,0,0,0,0,1
1402919493488,1402919493988,0,0,0,0,0,0,0
1402919493988,1402919494488,0,0,0,0,0,0,0
1402919494488,1402919494988,0,0,0,0,0,0,0
1402919494988,1402919495488,0,0,0,0,0,1,0
1402919495488,1402919495988,0,0,0,0,0,0,0
1402919495988,1402919496488,0,0,0,0,0,1,1
1402919496488,1402919496988,0,0,0,0,0,0,1
1402919496988,1402919497488,1,0,0,0,0,0,0
1402919497488,1402919497988,3,0,0,0,0,0,0
1402919497988,1402919498488,3,0,0,0,0,0,0
1402919498488,1402919498988,3,0,0,0,0,0,1
1402919498988,1402919499488,3,0,0,0,0,0,2
1402919499488,1402919499988,0,0,0,2,0,0,2
1402919499988,1402919500488,0,0,0,4,0,0,0
1402919500488,1402919500988,1,0,0,2,0,0,0
1402919500988,1402919501488,2,0,0,1,0,0,0
1402919501488,1402919501988,0,0,0,3,0,0,1
1402919501988,1402919502488,0,0,0,1,0,0,1
1402919502488,1402919502988,1,0,0,0,0,0,0
1402919502988,1402919503488,0,0,0,1,0,0,1
1402919503488,1402919503988,0,1,1,0,0,0,1
1402919503988,1402919504488,1,0,0,0,0,0,1
1402919504488,1402919504988,0,0,0,0,0,0,1
1402919504988,1402919505488,0,0,0,0,0,0,3
1402919505488,1402919505988,0,0,0,0,0,0,3
1402919505988,1402919506488,0,0,0,0,0,0,0
1402919506488,1402919506988,0,0,0,2,0,1,0
1402919506988,1402919507488,0,0,0,8,0,1,0
1402919507488,1402919507988,0,0,0,2,0,0,0
1402919507988,1402919508488,0,0,0,1,0,0,1
1402919508488,1402919508988,0,1,0,0,0,0,0
1402919508988,1402919509488,1,0,1,0,0,0,1
1402919509488,1402919509988,0,0,0,0,0,0,2
1402919509988,1402919510488,0,0,0,0,0,0,3
1402919510488,1402919510988,0,0,0,2,0,0,2
1402919510988,1402919511488,0,0,0,2,0,0,1
1402919511488,1402919511988,0,0,0,0,0,0,1
1402919511988,1402919512488,1,1,0,0,0,0,0
1402919512488,1402919512988,0,0,0,1,0,0,1
1402919512988,1402919513488,0,0,0,7,0,0,2
1402919513488,1402919513988,0,0,0,3,0,0,0
1402919513988,1402919514488,3,0,0,1,0,0,0
1402919514488,1402919514988,0,0,0,1,0,0,2
1402919514988,1402919515488,0,0,0,10,0,0,0
1402919515488,1402919515988,0,0,0,1,0,0,1
1402919515988,1402919516488,1,1,0,0,0,0,0
1402919516488,1402919516988,1,0,1,0,0,0,0
1402919516988,1402919517488,0,0,0,0,0,0,2
1402919517488,1402919517988,0,0,0,0,0,0,3
1402919517988,1402919518488,0,0,0,1,0,0,2
1402919518488,1402919518988,0,0,0,3,0,0,0
1402919518988,1402919519488,0,0,0,3,0,0,1
1402919519488,1402919519988,0,0,0,4,0,0,0
1402919519988,1402919520488,0,0,0,1,0,0,1
1402919520488,1402919520988,1,0,0,0,0,0,0
1402919520988,1402919521488,4,0,0,0,0,0,0
1402919521488,1402919521988,1,0,0,0,0,0,2
1402919521988,1402919522488,0,0,0,0,0,0,2
1402919522488,1402919522988,0,3,0,0,0,0,1
1402919522988,1402919523488,0,0,0,0,0,0,2
1402919523488,1402919523988,0,1,0,0,0,0,1
1402919523988,1402919524488,0,0,0,0,0,0,2
1402919524488,1402919524988,0,0,0,1,0,0,1
1402919524988,1402919525488,0,0,0,1,0,2,1
1402919525488,1402919525988,0,0,0,4,0,1,0
1402919525988,1402919526488,0,0,0,3,0,0,0
1402919526488,1402919526988,0,0,0,0,0,0,1
1402919526988,1402919527488,0,0,0,0,0,0,2
1402919527488,1402919527988,0,0,0,0,0,0,1
1402919527988,1402919528488,1,0,1,0,0,0,1
1402919528488,1402919528988,0,0,0,0,0,0,2
1402919528988,1402919529488,0,0,0,0,0,0,1
1402919529488,1402919529988,0,0,0,1,0,0,2
1402919529988,1402919530488,0,0,0,5,0,0,2
1402919530488,1402919530988,0,0,0,1,0,2,0
1402919530988,1402919531488,0,0,0,0,0,0,0
1402919531488,1402919531988,0,0,0,0,0,0,2
1402919531988,1402919532488,1,0,1,0,0,0,2
1402919532488,1402919532988,0,0,0,0,0,0,0
1402919532988,1402919533488,0,0,0,0,0,0,3
1402919533488,1402919533988,0,0,0,0,0,0,2
1402919533988,1402919534488,0,0,0,1,0,0,3
1402919534488,1402919534988,0,0,0,5,0,0,2
1402919534988,1402919535488,0,0,0,9,0,0,2
1402919535488,1402919535988,0,0,0,1,0,0,0
1402919535988,1402919536488,0,0,0,13,0,2,0
1402919536488,1402919536988,0,0,0,12,0,2,0
1402919536988,1402919537488,0,0,0,1,0,1,1
