start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget
1402647093906,1402647094406,2,0,0,0,0,0,0
1402647094406,1402647094906,1,2,0,0,0,0,0
1402647094906,1402647095406,6,0,0,0,0,0,1
1402647095406,1402647095906,5,0,0,0,0,0,2
1402647095906,1402647096406,0,4,0,0,0,0,1
1402647096406,1402647096906,0,2,0,0,0,0,0
1402647096906,1402647097406,1,1,0,0,0,0,1
1402647097406,1402647097906,0,0,0,0,0,0,2
1402647097906,1402647098406,0,0,0,0,0,0,1
1402647098406,1402647098906,0,0,0,0,0,0,0
1402647098906,1402647099406,0,0,0,0,1,0,2
1402647099406,1402647099906,0,0,0,0,0,0,0
1402647099906,1402647100406,0,0,0,0,0,0,2
1402647100406,1402647100906,0,1,0,0,0,1,0
1402647100906,1402647101406,0,0,0,0,0,1,0
1402647101406,1402647101906,0,0,0,1,0,1,0
1402647101906,1402647102406,0,0,0,0,0,1,0
1402647102406,1402647102906,0,0,0,1,0,0,1
1402647102906,1402647103406,0,0,0,1,0,0,1
1402647103406,1402647103906,0,0,0,0,0,3,0
1402647103906,1402647104406,0,0,0,0,0,1,0
1402647104406,1402647104906,0,0,0,0,0,1,0
1402647104906,1402647105406,0,0,0,0,0,0,2
1402647105406,1402647105906,0,0,0,0,0,0,2
1402647105906,1402647106406,0,0,0,0,0,0,0
1402647106406,1402647106906,2,0,0,0,0,0,0
1402647106906,1402647107406,0,2,0,0,0,0,1
1402647107406,1402647107906,0,1,0,0,0,0,0
1402647107906,1402647108406,0,1,0,0,0,0,1
1402647108406,1402647108906,0,1,0,0,0,0,1
1402647108906,1402647109406,0,0,0,0,0,0,2
1402647109406,1402647109906,0,0,0,0,0,0,1
1402647109906,1402647110406,0,0,0,0,0,0,2
1402647110406,1402647110906,0,0,0,0,0,0,1
1402647110906,1402647111406,0,0,0,0,0,2,0
1402647111406,1402647111906,1,0,0,0,0,0,1
1402647111906,1402647112406,1,0,0,0,0,0,1
