start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget,state
1402994524188,1402994524688,0,0,0,1,0,1,0,H0
1402994524688,1402994525188,0,0,0,9,0,0,1,H0
1402994525188,1402994525688,0,0,0,1,0,0,0,H0
1402994525688,1402994526188,0,1,0,0,0,0,0,H1
1402994526188,1402994526688,1,0,1,2,0,0,1,H2
1402994526688,1402994527188,0,0,0,0,0,0,1,H1
1402994527188,1402994527688,2,0,0,0,0,2,0,H1
1402994527688,1402994528188,1,0,0,0,0,0,2,H1
1402994528188,1402994528688,0,0,0,1,0,2,0,H0
1402994528688,1402994529188,0,0,0,1,0,0,2,H0
1402994529188,1402994529688,0,0,0,15,0,3,0,H0
1402994529688,1402994530188,0,0,0,1,0,1,0,H0
1402994530188,1402994530688,0,0,0,2,0,0,0,H0
1402994530688,1402994531188,0,0,0,0,0,0,1,H1
1402994531188,1402994531688,1,0,0,0,0,0,2,H1
1402994531688,1402994532188,1,0,0,0,0,0,0,H1
1402994532188,1402994532688,1,0,0,0,0,0,0,H1
1402994532688,1402994533188,1,0,0,0,0,0,1,H1
1402994533188,1402994533688,0,0,0,0,0,0,1,H1
1402994533688,1402994534188,0,0,0,0,0,0,0,H1
1402994534188,1402994534688,0,2,0,0,0,0,0,H1
1402994534688,1402994535188,0,0,0,0,0,0,1,H1
1402994535188,1402994535688,1,0,0,0,0,0,2,H1
1402994535688,1402994536188,0,0,0,1,0,0,1,H0
1402994536188,1402994536688,0,0,0,7,0,0,2,H0
1402994536688,1402994537188,0,0,0,0,0,0,2,H1
1402994537188,1402994537688,0,0,0,0,0,0,2,H1
1402994537688,1402994538188,1,0,1,1,0,0,1,H2
1402994538188,1402994538688,0,0,0,0,0,0,0,H1
1402994538688,1402994539188,1,0,1,1,0,0,0,H2
1402994539188,1402994539688,0,0,0,1,0,0,0,H0
1402994539688,1402994540188,0,0,1,0,0,0,1,H2
1402994540188,1402994540688,1,0,0,0,0,0,1,H1
1402994540688,1402994541188,0,1,0,0,0,0,1,H1
1402994541188,1402994541688,0,0,0,1,0,0,1,H0
1402994541688,1402994542188,0,0,0,1,0,0,2,H0
1402994542188,1402994542688,0,0,0,12,0,0,0,H0
1402994542688,1402994543188,0,0,0,3,0,0,0,H0
1402994543188,1402994543688,1,0,1,0,0,0,0,H2
1402994543688,1402994544188,0,0,0,0,0,0,1,H1
1402994544188,1402994544688,4,0,0,0,0,0,0,H1
1402994544688,1402994545188,0,0,0,0,0,0,3,H1
1402994545188,1402994545688,0,0,0,0,0,0,2,H1
1402994545688,1402994546188,0,0,0,1,0,0,2,H0
1402994546188,1402994546688,0,0,0,0,0,2,0,H1
1402994546688,1402994547188,0,0,0,1,0,3,0,H0
1402994547188,1402994547688,0,0,0,9,0,1,0,H0
1402994547688,1402994548188,0,0,0,0,0,2,0,H1
1402994548188,1402994548688,0,0,0,2,0,0,2,H0
1402994548688,1402994549188,0,0,0,1,0,0,1,H0
1402994549188,1402994549688,3,0,0,0,0,0,0,H1
1402994549688,1402994550188,2,0,0,0,0,0,2,H1
1402994550188,1402994550688,0,0,0,1,0,0,2,H0
1402994550688,1402994551188,0,0,0,3,0,0,3,H0
1402994551188,1402994551688,0,0,0,1,0,0,0,H0
1402994551688,1402994552188,2,0,0,0,0,0,1,H1
1402994552188,1402994552688,1,0,0,0,0,0,1,H1
1402994552688,1402994553188,0,0,0,0,0,0,1,H1
1402994553188,1402994553688,0,0,0,0,0,0,3,H1
1402994553688,1402994554188,0,0,1,0,0,0,2,H2
1402994554188,1402994554688,1,0,0,0,0,0,1,H1
1402994554688,1402994555188,0,0,0,0,0,0,2,H1
1402994555188,1402994555688,1,0,0,0,0,0,0,H1
1402994555688,1402994556188,0,0,0,0,0,0,3,H1
1402994556188,1402994556688,0,0,0,0,0,0,2,H1
1402994556688,1402994557188,0,0,0,0,0,0,3,H1
1402994557188,1402994557688,2,0,0,0,0,0,0,H1
1402994557688,1402994558188,3,0,0,0,0,0,1,H1
1402994558188,1402994558688,0,0,0,0,0,0,1,H1
1402994558688,1402994559188,0,0,0,0,0,0,2,H1
1402994559188,1402994559688,0,0,0,0,0,0,0,H1
1402994559688,1402994560188,2,0,0,0,0,0,0,H1
1402994560188,1402994560688,5,0,0,0,0,0,1,H1
1402994560688,1402994561188,4,0,0,0,0,0,1,H1
1402994561188,1402994561688,2,0,0,0,0,0,2,H1
1402994561688,1402994562188,0,0,0,1,0,0,2,H0
1402994562188,1402994562688,0,0,0,9,0,0,0,H0
1402994562688,1402994563188,1,0,0,0,0,0,0,H1
1402994563188,1402994563688,2,0,0,0,0,0,1,H1
1402994563688,1402994564188,0,0,0,1,0,0,2,H0
1402994564188,1402994564688,0,0,0,6,0,0,1,H0
1402994564688,1402994565188,0,0,0,7,0,0,1,H0
1402994565188,1402994565688,0,0,0,3,0,0,2,H0
1402994565688,1402994566188,0,0,0,1,0,0,0,H0
1402994566188,1402994566688,1,0,1,2,0,0,2,H2
1402994566688,1402994567188,0,0,0,0,0,0,2,H1
1402994567188,1402994567688,0,1,0,1,0,0,1,H2
1402994567688,1402994568188,0,0,0,0,0,0,2,H1
1402994568188,1402994568688,0,0,0,1,0,0,3,H0
1402994568688,1402994569188,0,0,0,6,0,0,0,H0
1402994569188,1402994569688,0,0,0,8,0,0,1,H0
1402994569688,1402994570188,0,0,0,2,0,0,0,H0
1402994570188,1402994570688,3,0,0,0,0,0,0,H1
1402994570688,1402994571188,4,0,0,0,0,0,2,H1
1402994571188,1402994571688,1,0,1,1,0,0,1,H2
1402994571688,1402994572188,0,1,0,1,0,0,1,H2
1402994572188,1402994572688,0,0,0,3,0,0,0,H0
1402994572688,1402994573188,0,1,0,0,0,0,0,H1
1402994573188,1402994573688,3,0,0,0,0,0,0,H1
1402994573688,1402994574188,0,0,0,0,0,0,0,H1
1402994574188,1402994574688,0,1,0,0,0,0,0,H1
1402994574688,1402994575188,0,0,0,2,0,0,0,H0
1402994575188,1402994575688,1,0,0,1,0,0,0,H0
1402994575688,1402994576188,0,0,0,1,0,0,0,H0
1402994576188,1402994576688,1,0,0,0,0,0,0,H1
1402994576688,1402994577188,0,0,0,0,0,0,2,H1
1402994577188,1402994577688,0,0,0,0,0,0,1,H1
1402994577688,1402994578188,0,0,0,0,0,0,3,H1
1402994578188,1402994578688,0,0,0,0,0,0,1,H1
1402994578688,1402994579188,0,0,0,0,1,0,2,H2
1402994579188,1402994579688,0,0,0,0,0,0,0,H1
1402994579688,1402994580188,0,0,0,0,0,0,0,H1
1402994580188,1402994580688,1,0,1,0,0,0,1,H2
1402994580688,1402994581188,0,0,0,0,0,0,1,H1
1402994581188,1402994581688,0,0,0,0,0,0,0,H1
1402994581688,1402994582188,0,0,0,0,0,0,0,H1
1402994582188,1402994582688,0,0,0,0,0,0,0,H1
1402994582688,1402994583188,0,0,0,0,0,0,0,H1
1402994583188,1402994583688,0,0,0,0,0,0,0,H1
1402994583688,1402994584188,0,0,0,0,0,0,0,H1
1402994584188,1402994584688,0,0,0,0,0,0,0,H1
1402994584688,1402994585188,0,0,0,0,0,1,0,H1
1402994585188,1402994585688,0,0,0,0,0,0,0,H1
1402994585688,1402994586188,0,0,0,0,0,0,0,H1
1402994586188,1402994586688,0,0,0,0,0,0,0,H1
1402994586688,1402994587188,0,0,0,0,0,0,0,H1
1402994587188,1402994587688,0,0,0,0,0,0,0,H1
1402994587688,1402994588188,0,0,0,0,0,1,0,H1
1402994588188,1402994588688,0,0,0,0,0,0,0,H1
1402994588688,1402994589188,0,0,0,0,0,2,0,H1
1402994589188,1402994589688,0,0,0,0,0,0,0,H1
1402994589688,1402994590188,0,0,0,0,0,0,0,H1
1402994590188,1402994590688,0,0,0,0,0,0,0,H1
1402994590688,1402994591188,0,0,0,0,0,0,0,H1
1402994591188,1402994591688,0,0,0,0,0,0,0,H1
1402994591688,1402994592188,0,0,0,0,0,0,0,H1
1402994592188,1402994592688,0,0,0,0,0,0,0,H1
1402994592688,1402994593188,0,0,0,0,0,0,0,H1
1402994593188,1402994593688,0,0,0,0,0,0,0,H1
1402994593688,1402994594188,0,0,0,0,0,0,0,H1
1402994594188,1402994594688,0,0,0,0,0,0,0,H1
1402994594688,1402994595188,0,0,0,0,0,0,0,H1
1402994595188,1402994595688,0,0,0,0,0,0,0,H1
1402994595688,1402994596188,0,0,0,0,0,0,0,H1
1402994596188,1402994596688,0,0,0,0,0,0,0,H1
1402994596688,1402994597188,0,0,0,0,0,2,0,H1
1402994597188,1402994597688,0,0,0,0,0,0,0,H1
1402994597688,1402994598188,0,0,0,0,0,0,0,H1
1402994598188,1402994598688,0,0,0,0,0,0,0,H1
1402994598688,1402994599188,0,0,0,0,0,2,0,H1
1402994599188,1402994599688,0,0,0,0,0,0,0,H1
1402994599688,1402994600188,0,0,0,0,0,2,0,H1
1402994600188,1402994600688,0,0,0,0,0,0,0,H1
1402994600688,1402994601188,0,0,0,0,0,0,0,H1
1402994601188,1402994601688,0,0,0,0,0,0,0,H1
1402994601688,1402994602188,0,0,0,0,0,4,0,H1
1402994602188,1402994602688,0,0,0,0,0,0,0,H1
1402994602688,1402994603188,0,0,0,0,0,3,0,H1
1402994603188,1402994603688,0,0,0,0,0,0,0,H1
1402994603688,1402994604188,0,0,0,0,0,0,0,H1
1402994604188,1402994604688,0,0,0,0,0,0,0,H1
1402994604688,1402994605188,0,0,0,0,0,3,0,H1
1402994605188,1402994605688,0,0,0,0,0,0,0,H1
1402994605688,1402994606188,0,0,0,0,0,4,0,H1
1402994606188,1402994606688,0,0,0,0,0,0,0,H1
1402994606688,1402994607188,0,0,0,0,0,2,0,H1
1402994607188,1402994607688,0,0,0,0,0,0,0,H1
1402994607688,1402994608188,0,0,0,0,0,0,0,H1
1402994608188,1402994608688,0,0,0,0,0,0,0,H1
1402994608688,1402994609188,0,0,0,0,0,0,0,H1
1402994609188,1402994609688,0,0,0,0,0,0,0,H1
1402994609688,1402994610188,0,0,0,0,0,0,0,H1
1402994610188,1402994610688,0,0,0,0,0,0,0,H1
1402994610688,1402994611188,0,0,0,0,0,0,0,H1
1402994611188,1402994611688,0,0,0,0,0,0,0,H1
1402994611688,1402994612188,0,0,0,0,0,0,0,H1
1402994612188,1402994612688,0,0,0,0,0,0,0,H1
1402994612688,1402994613188,0,0,0,0,0,2,0,H1
